date,year,ward_id,district,upazila,lat,lon,scenario,C1_air,C2_water,C3_thermal,C4_green,C5_socio,HHI,vulnerability_zone
2025-01-01,2025,1,Gazipur,Gazipur Sadar,23.99,90.42,S2,70.30265697852157,70.1934465635215,79.83796849114789,65.84778468661746,79.82000011698862,72.3973236879537,At-Risk
2025-01-01,2025,2,Gazipur,Kaliakair,24.06,90.22,S2,57.81747306459505,50.61269626550773,63.90273322251038,51.25656910677676,60.56932582173087,56.728100266861674,At-Risk
2025-01-01,2025,3,Gazipur,Sreepur,24.09,90.47,S2,44.940073078254436,42.996778032686706,44.92144700844934,45.25129583009559,37.28326331040168,43.6862414280139,Moderate
2025-01-01,2025,4,Gazipur,Kaliganj,23.92,90.57,S2,48.61392709711499,38.42711482080075,42.0606401212291,43.31381391349625,42.72571635474537,43.982736377877266,Moderate
2025-01-01,2025,5,Gazipur,Kapasia,24.08,90.57,S2,35.99262817544748,35.05779934984615,35.45883183166737,36.96809299445583,19.93420534213118,34.078953903076666,Moderate
2025-01-01,2025,6,Narayanganj,Narayanganj Sadar,23.62,90.5,S2,68.81545527289325,88.01388802019486,79.4384419620631,76.29683066439223,83.33816125711425,77.40029271740457,Critical
2025-01-01,2025,7,Narayanganj,Bandar,23.6,90.52,S2,57.45220261547532,62.38438524813591,64.57251214501358,63.054053695397,66.03660098229203,61.20379559832395,At-Risk
2025-01-01,2025,8,Narayanganj,Rupganj,23.75,90.53,S2,66.307426280074,75.78329979334009,64.54239653319051,71.2590823530026,71.9247917837357,69.37542928677101,At-Risk
2025-01-01,2025,9,Narayanganj,Sonargaon,23.65,90.62,S2,36.55950183172717,46.56490587260686,43.1915324883822,47.79459772868271,35.60782463702906,40.97787611307096,Moderate
2025-01-01,2025,10,Narayanganj,Araihazar,23.78,90.65,S2,40.52293050466862,41.7340352759094,45.906201421061475,48.48702830481391,29.15862071065667,41.20577653261074,Moderate
2026-01-01,2026,1,Gazipur,Gazipur Sadar,23.99,90.42,S2,63.440144162125065,60.56603425152887,77.13035358023207,65.84778468661746,80.20284195641577,66.90916985662264,At-Risk
2026-01-01,2026,2,Gazipur,Kaliakair,24.06,90.22,S2,51.971566348390006,42.08194586754215,61.46618227426006,51.25656910677676,61.55665977754191,52.02136185424903,At-Risk
