date,year,month,period,ward_id,district,upazila,lat,lon,scenario,C1_air,C2_water,C3_thermal,C4_green,C5_socio,HHI,vulnerability_zone
2025-01-01,2025,1,1,1,Gazipur,Gazipur Sadar,23.99,90.42,BAU,79.0322091750905,67.05544575906178,65.49468996225156,73.31221993899912,74.27149419812093,72.92860500988205,At-Risk
2025-04-01,2025,4,2,1,Gazipur,Gazipur Sadar,23.99,90.42,BAU,65.98553384126224,65.54302283949889,90.55410154550422,73.1704221482259,70.80130772643561,70.9631720799664,At-Risk
2025-07-01,2025,7,3,1,Gazipur,Gazipur Sadar,23.99,90.42,BAU,41.51901437680968,68.12419379158962,78.29418688690433,68.7623864543371,74.73060531628859,59.84794235540238,At-Risk
2025-10-01,2025,10,4,1,Gazipur,Gazipur Sadar,23.99,90.42,BAU,62.71100195425519,67.69777218431771,73.20497799596815,74.17925784339704,72.25132488003621,67.64771432390371,At-Risk
2025-01-01,2025,1,1,2,Gazipur,Kaliakair,24.06,90.22,BAU,66.14995136054974,60.22430447628601,48.22680308963461,67.40610021338385,54.85373627979606,60.76586806053224,At-Risk
2025-04-01,2025,4,2,2,Gazipur,Kaliakair,24.06,90.22,BAU,52.83310850050141,55.39978666113586,77.03560228285558,64.68204647767314,50.33658742719096,58.13980980658586,At-Risk
2025-07-01,2025,7,3,2,Gazipur,Kaliakair,24.06,90.22,BAU,33.4230120084233,61.23625767518226,59.586130931808704,52.258353577018525,52.05236317587929,48.05398992761298,Moderate
2025-10-01,2025,10,4,2,Gazipur,Kaliakair,24.06,90.22,BAU,48.14835195646667,55.957695736483856,52.9846025929126,60.71980498188433,51.33509520466841,52.30063703046399,At-Risk
2025-01-01,2025,1,1,3,Gazipur,Sreepur,24.09,90.47,BAU,57.769341412989704,46.42212356081085,42.03522135043996,55.91300385511227,33.55129999082617,49.772100720884744,Moderate
2025-04-01,2025,4,2,3,Gazipur,Sreepur,24.09,90.47,BAU,52.202698477625184,51.00554672752572,62.5401999720232,61.497298465750774,32.58343179835759,52.34282920733845,At-Risk
2025-07-01,2025,7,3,3,Gazipur,Sreepur,24.09,90.47,BAU,29.444626589517437,42.091338523835994,47.10149149895966,46.340402403672144,32.32638286643322,37.18589379890187,Moderate
2025-10-01,2025,10,4,3,Gazipur,Sreepur,24.09,90.47,BAU,41.87663950591459,50.842797758148194,43.50614936921849,55.44365652130323,33.76152879997962,44.70000160026984,Moderate
2025-01-01,2025,1,1,4,Gazipur,Kaliganj,23.92,90.57,BAU,56.684253812917504,43.70132478392163,45.727546303436796,61.158963336174295,36.44960227428104,50.044946647006405,At-Risk
2025-04-01,2025,4,2,4,Gazipur,Kaliganj,23.92,90.57,BAU,50.21750695815233,51.82459498781231,71.3384976870109,63.979568281389795,37.04281161493522,53.84808877838203,At-Risk
2025-07-01,2025,7,3,4,Gazipur,Kaliganj,23.92,90.57,BAU,29.081081899073396,45.96864982926025,56.10098360325012,50.77851977086647,37.83691073833953,40.40630191833226,Moderate
2025-10-01,2025,10,4,4,Gazipur,Kaliganj,23.92,90.57,BAU,46.725470337766886,60.62212583284864,57.62995149386333,52.91911892962553,38.15816139884287,51.51749531555668,At-Risk
2025-01-01,2025,1,1,5,Gazipur,Kapasia,24.08,90.57,BAU,44.057696855430976,33.772347273764375,23.47272129558583,48.46801285910513,18.002737717933055,35.91896382998052,Moderate
2025-04-01,2025,4,2,5,Gazipur,Kapasia,24.08,90.57,BAU,38.987367104006076,32.53997792180699,50.55166202029915,51.98485286461509,18.447121526445663,38.282436557346635,Moderate
2025-07-01,2025,7,3,5,Gazipur,Kapasia,24.08,90.57,BAU,22.13673958614605,29.89454793097205,36.5147938696668,36.28332863845535,17.905441821950312,27.164487205147992,Moderate
2025-10-01,2025,10,4,5,Gazipur,Kapasia,24.08,90.57,BAU,33.15463233787574,34.5637879188121,32.12860607320155,38.16645324216462,17.525345742305333,32.14491652166343,Moderate
2025-01-01,2025,1,1,6,Narayanganj,Narayanganj Sadar,23.62,90.5,BAU,80.21482667796809,96.83648107829731,61.33339962288535,81.77347296859861,88.647924223314,82.27731221800687,Critical
2025-04-01,2025,4,2,6,Narayanganj,Narayanganj Sadar,23.62,90.5,BAU,67.60869085621253,88.7996617910205,92.7952793306654,79.2638923446096,88.647924223314,80.07130381319534,Critical
2025-07-01,2025,7,3,6,Narayanganj,Narayanganj Sadar,23.62,90.5,BAU,42.80583091393527,84.99809445399967,81.91226849426627,72.42541297885363,86.7903487295927,66.65627921234078,At-Risk
2025-10-01,2025,10,4,6,Narayanganj,Narayanganj Sadar,23.62,90.5,BAU,62.36772519686161,96.06889517911681,77.78437874099338,79.61397378544352,72.46235316297577,75.67464453429082,Critical
2025-01-01,2025,1,1,7,Narayanganj,Bandar,23.6,90.52,BAU,72.55536831916089,74.60648111206673,54.90034959632527,64.46588986021744,58.18333278237362,67.98807065430151,At-Risk
2025-04-01,2025,4,2,7,Narayanganj,Bandar,23.6,90.52,BAU,58.27211918127338,76.57852770236443,77.18339788656006,71.91516517973476,60.610822176221035,67.24177332999517,At-Risk
2025-07-01,2025,7,3,7,Narayanganj,Bandar,23.6,90.52,BAU,34.41970932480764,67.9639783501756,68.4625716431871,50.79555271540372,56.251877708738164,51.82147458468417,At-Risk
2025-10-01,2025,10,4,7,Narayanganj,Bandar,23.6,90.52,BAU,48.59736437124458,70.20809931036088,66.1920625973917,58.880867509882805,56.18991081201094,58.41010522260437,At-Risk
2025-01-01,2025,1,1,8,Narayanganj,Rupganj,23.75,90.53,BAU,69.99742299074241,84.82184760275085,56.51641266269388,74.69617057647847,63.12189399673691,71.15975471284425,At-Risk
2025-04-01,2025,4,2,8,Narayanganj,Rupganj,23.75,90.53,BAU,55.30835947732642,73.78159594541754,84.403554897115,71.22488521649296,63.9595880226318,66.81673838077525,At-Risk
2025-07-01,2025,7,3,8,Narayanganj,Rupganj,23.75,90.53,BAU,32.89174595493632,73.94966042840773,66.45702009266631,60.77240066231254,63.976954745469946,54.06550193634889,At-Risk
2025-10-01,2025,10,4,8,Narayanganj,Rupganj,23.75,90.53,BAU,53.42195606513672,78.24601819467672,65.7596457515399,63.904907534954546,61.92776423750318,63.29190519276466,At-Risk
